,day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
1945,4,2018,8,2,02/08/2018,73.7,72.5,1019.9,5.4,11.6,15.9,21,78.1,64,0,999.9,0,722
1947,2,2018,8,28,28/08/2018,73,71.2,1016.6,3.5,9,15.9,20,84,66.9,0,999.9,1,715
1948,4,2018,8,16,16/08/2018,77.2,71.4,1014.9,9.1,10.1,15.9,20,87.1,70,0,999.9,0,647
1949,1,2013,8,5,05/08/2013,68.1,54.5,1013.3,10,12.2,15.9,24.1,75.9,60.1,0,999.9,0,545
1950,4,2012,8,30,30/08/2012,72,49.4,1017.6,10,2.5,15.9,20,82,57.2,0,999.9,0,618
1953,1,2015,8,31,31/08/2015,74.8,69.6,1015.3,9,11.2,17.1,22,82,66.9,0,999.9,0,614
1956,2,2017,8,8,08/08/2017,65.2,62.8,1013.2,7.8,11.3,17.1,24.1,73.9,59,0.96,999.9,0,631
1957,6,2019,8,24,24/08/2019,68.3,58.5,1018.7,10,12.3,17.1,22,75.9,63,0,999.9,0,514
1958,7,2017,8,6,06/08/2017,69.4,59.9,1014.4,9.5,11.8,17.1,22.9,75,64,0,999.9,0,519
1959,4,2013,8,29,29/08/2013,65.7,63.7,1014.4,5.8,11.3,17.1,21,69.1,62.6,0,999.9,1,572
1960,1,2017,8,28,28/08/2017,62.7,56.4,1025.3,10,8.5,17.1,22.9,73,50,0,999.9,0,584
1961,7,2019,8,11,11/08/2019,68.8,57,1013.3,10,9.4,17.1,22,75.9,62.1,0,999.9,0,484
1962,3,2018,8,15,15/08/2018,74.1,70.4,1011.1,9.4,9.7,17.1,21,80.1,69.1,0.08,999.9,0,645
1963,4,2018,8,23,23/08/2018,70,61.6,1010.3,9.7,9.3,17.1,22,75.9,62.1,0.01,999.9,0,610
1964,5,2013,8,30,30/08/2013,65,59.2,1014.8,9.9,10.8,17.1,21,70,59,0,999.9,0,599
