,day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
2305,7,2014,10,12,12/10/2014,53.3,43.7,1022.4,10,9.2,14,21,59,44.1,0.78,999.9,0,473
2308,3,2018,10,31,31/10/2018,45.9,35.8,1019.1,10,6.8,14,20,54,32,0,999.9,0,646
2309,2,2014,10,7,07/10/2014,63,57,1021.1,10,11.5,14,19,69.1,45,0,999.9,0,620
2312,3,2012,10,31,31/10/2012,49.7,43.2,999.6,8.6,5.5,14,17.1,60.8,45,0.06,999.9,0,549
2315,2,2013,10,29,29/10/2013,47.5,34.1,1027.6,10,6.8,15,20,57.9,36,0,999.9,0,600
2316,2,2015,10,6,06/10/2015,59.4,51.7,1015.3,10,10.5,15,22.9,64.4,51.1,0,999.9,0,631
2318,6,2019,10,26,26/10/2019,55.2,50,1022.8,7.9,7.3,15,21,64,46,0,999.9,1,525
2319,5,2014,10,31,31/10/2014,51.3,43.6,1014.8,10,7.9,15,21,61,42.1,0,999.9,0,668
2321,4,2016,10,27,27/10/2016,46.5,36.4,1029.3,9.8,8.2,15,22,52,39.9,0,999.9,0,831
2322,1,2013,10,21,21/10/2013,54.4,41.1,1018.5,10,7.1,15,19,64,39.9,0,999.9,0,616
2324,6,2012,10,6,06/10/2012,66.1,57.9,1010.5,7,5.2,15,21,75,57,0.01,999.9,1,500
2326,1,2018,10,8,08/10/2018,60.7,55.7,1029.4,8.8,10.5,15,19,69.1,57.9,0,999.9,0,501
2328,2,2016,10,11,11/10/2016,54.3,42.2,1029,10,10.1,15,20,60.1,46.9,0.03,999.9,0,739
2330,6,2019,10,19,19/10/2019,50.5,39.4,1014.9,10,10.9,15,22,60.1,46,0,999.9,0,585
2331,1,2013,10,7,07/10/2013,65.7,62.3,1017.4,8.5,11.9,15,20,73,53.1,0,999.9,0,618
2332,4,2013,10,10,10/10/2013,58.4,52.6,1024.3,10,11.6,15,22,64.9,54,0,999.9,0,559
2333,2,2019,10,15,15/10/2019,56.7,48.8,1018.2,10,8.9,15,21,66.9,48.9,0.25,999.9,0,549
2334,2,2019,10,22,22/10/2019,56.3,52.8,1018.7,7.9,11.5,15,22,61,53.1,0.11,999.9,0,562
2336,1,2012,10,8,08/10/2012,49.9,42.9,1022.9,9,3.5,15.9,23.9,55.9,44.1,0.2,999.9,0,376
2337,5,2015,10,16,16/10/2015,60.1,47.3,1013.5,9.8,11.7,15.9,32.1,66,52,0,999.9,0,676
2338,2,2012,10,16,16/10/2012,55.8,42.5,1007.4,9.9,5.8,15.9,25.1,64,50,0.12,999.9,0,602
2340,4,2015,10,8,08/10/2015,59.8,51.9,1018.1,10,8.2,15.9,20,66,51.1,0,999.9,0,666
2341,7,2013,10,13,13/10/2013,55.1,45.6,1027.8,10,11.4,15.9,22.9,64,48,0,999.9,0,502
2342,4,2013,10,24,24/10/2013,48.4,34.5,1007.5,9.9,10.8,15.9,27,57,43,0.36,999.9,0,632
2343,4,2014,10,30,30/10/2014,56.1,45,1012.9,9.4,8.9,15.9,22.9,66,51.1,0,999.9,0,626
2344,3,2017,10,18,18/10/2017,56.7,49,1024.8,10,10.1,15.9,20,66.9,41,0,999.9,0,737
2345,2,2018,10,30,30/10/2018,47.9,35.4,1013.2,10,9.8,15.9,26,60.1,45,0.1,999.9,0,721
2346,7,2016,10,30,30/10/2016,61.1,52.4,1010.9,9.3,11,15.9,22.9,69.1,46.9,0,999.9,0,557
2347,2,2014,10,21,21/10/2014,57.7,52.3,1015.5,9.3,10.5,15.9,21,60.8,53.1,0,999.9,0,607
2348,3,2014,10,1,01/10/2014,62.4,60.6,1014.5,7.1,13.2,15.9,20,63,60.8,0.24,999.9,0,559
2349,5,2014,10,10,10/10/2014,59,44,1017.8,10,8.9,15.9,17.1,66,48.9,0,999.9,0,541
2350,3,2012,10,10,10/10/2012,58.2,53.8,1013.5,7.5,5.2,15.9,22.9,64.9,53.1,0.03,999.9,0,640
2351,7,2013,10,20,20/10/2013,58.3,47.4,1010.3,10,9.4,15.9,21,62.1,46.9,0.05,999.9,0,490
2353,7,2012,10,7,07/10/2012,52.5,42.3,1017.4,9.3,2,16.9,23.9,66.2,48,0.04,999.9,0,481
2354,5,2017,10,20,20/10/2017,62,54.1,1017,10,11.3,17.1,22,68,54,0,999.9,0,823
2355,7,2014,10,5,05/10/2014,59.6,50.4,1006.5,9.6,11,17.1,25.1,64.9,51.1,0.08,999.9,0,505
2356,5,2015,10,30,30/10/2015,57.4,41.6,1008.2,10,11.1,17.1,25.1,66,51.1,0.4,999.9,0,688
2357,1,2014,10,27,27/10/2014,54.1,40.5,1010,10,12,17.1,24.1,61,48.9,0,999.9,0,642
2359,5,2017,10,13,13/10/2017,56.4,49.4,1030.6,10,10.9,17.1,22,63,51.1,0.01,999.9,0,658
2360,4,2014,10,16,16/10/2014,65,63.4,1013.5,6.6,12,17.1,27,68,62.6,0.05,999.9,0,602
2361,5,2015,10,9,09/10/2015,58.9,52.7,1016.3,9.8,10.9,17.1,22,68,48,0,999.9,0,764
2362,3,2019,10,23,23/10/2019,61.4,57.7,1011.4,6.6,11.3,17.1,24.1,68,53.1,0.04,999.9,1,669
2363,3,2013,10,2,02/10/2013,64.8,58.1,1012.1,9.3,8.7,17.1,19,73.9,53.1,0.01,999.9,1,647
2364,6,2014,10,11,11/10/2014,52.9,48.1,1019,8.1,8.1,17.1,20,62.1,50,0.15,999.9,0,546
2366,6,2015,10,24,24/10/2015,51.5,38.3,1027.1,10,9.4,17.1,26,63,48,0,999.9,0,519
2368,3,2019,10,2,02/10/2019,67.6,64,1009.7,8.9,13.4,17.1,25.1,78.1,53.1,0,999.9,0,688
2369,3,2016,10,5,05/10/2016,58.7,53.2,1026.1,10,12.9,17.1,20,62.1,55.4,0,999.9,0,695
2370,1,2018,10,15,15/10/2018,57.1,51.9,1021.9,9.1,9.8,18.1,22.9,64.9,43,0,999.9,0,692
2371,5,2017,10,27,27/10/2017,54.1,43.5,1015.5,10,12.1,18.1,25.1,64,48.9,0.26,999.9,0,759
2372,6,2015,10,17,17/10/2015,52.7,39.6,1015.4,10,8.2,18.1,22.9,66,41,0.07,999.9,0,565
2373,1,2018,10,22,22/10/2018,43.3,24.9,1021,10,11.7,18.1,28,52,36,0.36,999.9,0,650
2374,5,2016,10,21,21/10/2016,64.6,62.1,1010.7,6,12.9,18.1,24.1,70,52,0.01,999.9,1,851
2375,4,2019,10,31,31/10/2019,62.5,60.2,1017.7,5.4,13.1,18.1,24.1,64.9,53.1,0.7,999.9,0,616
2376,4,2015,10,22,22/10/2015,60.5,55.7,1022.9,8.8,9.7,18.1,24.1,70,52,0,999.9,1,666
2377,5,2014,10,3,03/10/2014,58.5,54,1016.5,9.2,13.1,18.1,24.1,61,57,0.01,999.9,0,719
2378,3,2019,10,16,16/10/2019,51.5,46,1015.6,9.9,9.3,18.1,27,60.1,39,0,999.9,0,658
2379,1,2017,10,9,09/10/2017,66.3,66.2,1016.5,6.2,10.5,18.1,24.1,71.1,64,0.02,999.9,0,546
2380,2,2019,10,8,08/10/2019,61.3,58,1022.2,9.3,12.1,18.1,22.9,73,57.9,0.18,999.9,0,523
2381,5,2012,10,19,19/10/2012,63.2,61.1,1010.9,6.1,5.2,18.1,23.9,66,55,0.25,999.9,1,738
2382,7,2014,10,26,26/10/2014,57.6,45.4,999.7,10,13.1,18.1,28.9,62.1,45,0.04,999.9,0,515
2383,4,2014,10,23,23/10/2014,59.5,57,1000.4,8.7,10.7,18.1,25.1,64,51.1,0.1,999.9,0,639
2385,5,2018,10,26,26/10/2018,39.8,25.4,1018.6,10,8.7,18.1,25.1,50,33.1,0,999.9,0,747
2386,2,2013,10,8,08/10/2013,61.5,51.6,1019.7,8.7,12.2,18.1,24.1,73,52,0.47,999.9,0,574
2387,7,2012,10,21,21/10/2012,56.5,39,1012.9,10,5,18.1,23.9,64,48.9,0,999.9,0,426
2388,4,2019,10,3,03/10/2019,55.3,47.3,1019.7,10,12.5,18.1,24.1,61,53.1,0.09,999.9,0,690
2389,1,2014,10,20,20/10/2014,49,32.4,1016.2,10,11.8,18.1,27,59,41,0,999.9,0,591
2390,6,2012,10,20,20/10/2012,62.7,58.6,1006.5,5,6.3,18.1,22,69.1,57.9,0.13,999.9,1,587
2391,2,2012,10,9,09/10/2012,53.8,48.5,1022.3,8.5,5.6,18.1,26,57.2,50,0.46,999.9,0,570
2392,1,2016,10,31,31/10/2016,48.3,41.9,1018.8,8.2,12.5,19,26,52,42.1,0.49,999.9,0,655
2393,5,2013,10,11,11/10/2013,60.6,56.6,1018.4,10,13.3,19,26,64.9,55,0,999.9,0,621
2394,7,2018,10,28,28/10/2018,56.8,52.7,1007.4,6.9,13.4,19,27,61,44.1,0.99,999.9,0,556
2395,4,2016,10,20,20/10/2016,60.4,54.3,1021.3,9.1,10.5,19,24.1,71.1,52,0,999.9,1,662
2396,5,2012,10,12,12/10/2012,51.2,35.9,1021.1,10,5.3,19,25.1,62.6,48,0,999.9,0,594
2397,1,2015,10,19,19/10/2015,42.8,24.8,1027.3,10,12.6,19,25.1,48,39.9,0,999.9,0,667
2400,7,2015,10,18,18/10/2015,46.1,28,1020.6,10,13.7,19,25.1,60.1,41,0,999.9,0,551
2403,6,2014,10,25,25/10/2014,54.7,45.9,1006,10,10.7,19,22.9,62.1,45,0,999.9,0,515
2404,3,2016,10,26,26/10/2016,44.7,28.1,1025.3,10,14.9,19,27,53.1,41,0,999.9,0,706
2405,2,2016,10,25,25/10/2016,49.1,29.5,1017.6,10,14.1,19,28,61,45,0,999.9,0,566
2406,1,2019,10,21,21/10/2019,55.2,52,1016.7,9.5,13.5,20,28,60.1,39,0.2,999.9,0,559
2407,7,2014,10,19,19/10/2014,56,45.2,1005.8,10,10.7,20,24.1,68,51.1,0.01,999.9,0,483
2408,4,2018,10,11,11/10/2018,67.2,65.9,1009.6,4.1,8.9,20,25.1,72,64,0,999.9,1,741
2409,1,2012,10,15,15/10/2012,65.3,57.8,1009.5,9.4,4.5,20,26,71.1,61,0,999.9,0,607
2410,7,2017,10,29,29/10/2017,60.4,59.4,1012.4,9.6,12.3,20,25.1,64,42.1,0,999.9,0,613
2411,4,2012,10,11,11/10/2012,53.4,35.3,1018.9,10,5.5,20,28.9,62.6,46.9,0.02,999.9,0,657
2412,4,2018,10,25,25/10/2018,45.3,32.4,1015.5,10,14.2,20,28.9,53.1,42.1,0,999.9,0,763
2413,1,2018,10,29,29/10/2018,54.9,48.9,1008.4,9.8,11.7,20,28,61,51.1,0,999.9,0,696
2414,5,2013,10,18,18/10/2013,62.3,57,1008.3,8.8,11,20,25.1,68,57,0.01,999.9,0,680
2415,7,2012,10,14,14/10/2012,58.7,45.9,1021.9,10,5,20,26,69.1,44.6,0,999.9,0,517
2416,2,2016,10,4,04/10/2016,60.5,54.2,1023.5,9.7,12.4,20,27,66,55.9,0.01,999.9,0,523
2417,1,2016,10,24,24/10/2016,57.5,41.6,1009.5,9.9,12.5,20,27,61,50,0.07,999.9,0,573
2418,1,2015,10,5,05/10/2015,58.6,52.1,1020.4,10,17.1,20,28.9,64,53.1,0,999.9,0,597
2419,1,2017,10,16,16/10/2017,62.3,58.2,1011.6,8.8,13.8,20,27,68,55,0,999.9,0,641
2420,3,2018,10,24,24/10/2018,48.8,41.3,1012.4,10,13.2,20,29.9,59,44.1,0.03,999.9,0,719
2421,1,2012,10,22,22/10/2012,57.8,40.1,1017.4,10,4.3,20,26,66,48.9,0,999.9,0,608
2422,6,2012,10,13,13/10/2012,45.2,25.9,1030.8,10,3.1,20,27,52,37.9,0,999.9,0,547
2423,7,2017,10,15,15/10/2017,63.3,63.3,1016.6,1.4,7.1,20,27,68,57,0.71,999.9,1,496
2424,1,2013,10,28,28/10/2013,50.7,33,1020.4,10,10.3,21,27,57.9,36,0,999.9,0,620
2425,5,2015,10,23,23/10/2015,56.2,43,1019.2,10,15.4,21,31.1,66.9,48.9,0.01,999.9,0,742
2426,3,2014,10,22,22/10/2014,57,55.4,1010.3,6.1,12.8,21,28.9,60.8,51.8,0.23,999.9,0,708
2427,4,2017,10,12,12/10/2017,57.1,49.2,1026.7,10,14.5,21,27,68,52,0.09,999.9,0,603
2428,5,2014,10,24,24/10/2014,54.3,51.1,1003.1,7.6,15.7,21,29.9,64,51.1,0.16,999.9,0,669
2429,2,2017,10,10,10/10/2017,68.8,65.6,1015,5.9,11,21,28.9,77,63,0.31,999.9,1,768
2430,5,2019,10,18,18/10/2019,55,42.4,1002.8,10,14.9,21,39,64,51.1,0.21,999.9,0,634
2431,4,2014,10,9,09/10/2014,60.8,45.9,1013.8,9.7,12.6,21,26,70,48.9,0.39,999.9,0,499
2432,2,2017,10,17,17/10/2017,51.1,39,1022.8,10,12.1,21,26,66.9,41,0,999.9,0,736
2433,4,2017,10,5,05/10/2017,63.7,62.6,1019.9,8.4,15.8,21,25.1,69.1,54,0,999.9,0,657
2434,5,2016,10,14,14/10/2016,55.9,45.7,1022.4,10,14.2,21,27,66.9,48,0,999.9,0,767
2435,5,2018,10,19,19/10/2018,49.2,33.4,1022.9,10,13.7,21,31.1,59,39.9,0,999.9,0,787
2436,3,2013,10,9,09/10/2013,56.4,44.3,1027.9,10,11.6,22,26,64.9,51.1,0.03,999.9,0,529
2437,7,2012,10,28,28/10/2012,57.7,50,1010.8,9.6,11.9,22,32.1,61,53.6,0,999.9,0,403
2438,6,2013,10,12,12/10/2013,58.6,53.4,1021.7,10,13.2,22,31.1,64.9,54,0,999.9,0,556
2441,6,2015,10,10,10/10/2015,59.2,49.2,1016,9,13.1,22.9,32.1,68,46,0.56,999.9,0,649
2442,3,2018,10,17,17/10/2018,55.6,40.7,1013.4,10,13.3,22.9,29.9,63,46.9,0.1,999.9,0,699
2443,6,2019,10,5,05/10/2019,51.9,37.9,1027.7,10,12.2,22.9,32.1,63,42.1,0.04,999.9,0,557
2444,1,2015,10,26,26/10/2015,52.3,39.8,1026,10,12.9,22.9,29.9,62.1,41,0,999.9,0,698
2445,7,2015,10,4,04/10/2015,56.2,46.7,1026.5,10,19.2,22.9,33,60.1,53.1,0.04,999.9,0,536
2446,3,2015,10,28,28/10/2015,53.8,46.9,1030.4,9.3,13.2,22.9,31.1,61,36,0,999.9,0,689
2447,1,2012,10,1,01/10/2012,60.6,46.8,1011.2,10,4.7,23.9,33,70,53.1,0.46,999.9,0,555
2448,4,2018,10,18,18/10/2018,45.6,23.6,1019.5,10,16.3,24.1,35.9,63,41,0,999.9,0,735
2449,2,2017,10,31,31/10/2017,57.7,44.2,1014.3,10,18.1,24.1,29.9,73,53.1,0.04,999.9,0,696
2450,4,2015,10,29,29/10/2015,63.2,60.9,1005.5,3.5,17.6,24.1,35.9,66,46.9,0.54,999.9,1,767
2451,3,2017,10,25,25/10/2017,65.1,65,1009.4,4.9,17.1,24.1,35,69.1,60.1,0.06,999.9,0,648
2453,6,2018,10,20,20/10/2018,59.5,53.2,1008.6,9,16.1,24.1,33,61,57.2,0.01,999.9,0,629
2454,5,2019,10,4,04/10/2019,57.4,51.3,1015.5,9.4,14.6,25.1,35,63,52,0.08,999.9,0,707
2456,5,2018,10,5,05/10/2018,62.2,57,1017.9,9.8,14.7,25.1,29.9,66.9,55.9,0,999.9,0,796
2457,6,2013,10,26,26/10/2013,49,32.9,1020.1,10,13.7,25.1,34,57.9,32,0,999.9,0,626
2458,6,2016,10,29,29/10/2016,51,44.8,1015.3,8.8,15.8,26,38.1,59,46,0.01,999.9,0,614
2459,2,2018,10,16,16/10/2018,57.1,44.8,1015.2,8.6,15.5,26,39,69.1,43,0.18,999.9,0,688
2460,2,2015,10,20,20/10/2015,58.2,45.6,1022.8,9.7,21.3,26,34,66,39.9,0,999.9,0,714
2461,3,2019,10,9,09/10/2019,56.9,53.6,1022.1,7.8,19.5,26,39,66.9,55,0.17,999.9,0,383
2462,7,2013,10,27,27/10/2013,54.3,38.7,1012.5,10,13.8,26,35.9,57.9,50,0.01,999.9,0,512
2463,6,2016,10,22,22/10/2016,61.3,58.9,993.1,3.5,12.2,27,36.9,70,50,0.01,999.9,1,629
2464,5,2016,10,28,28/10/2016,51.8,46.3,1015.4,7.7,18.6,27,38.1,59,39.9,0.78,999.9,0,798
2466,7,2019,10,27,27/10/2019,53.4,47.2,1022.7,7.6,14.3,27,38.1,62.6,44.1,0,999.9,0,467
2467,7,2018,10,21,21/10/2018,48.5,41.4,1004.7,9.1,11.8,27,35.9,62.1,42.1,0.2,999.9,0,593
2470,6,2018,10,27,27/10/2018,50,45.3,1015.4,5.7,16,28,40,59,33.1,0.2,999.9,0,757
2471,6,2019,10,12,12/10/2019,56.2,54.1,1011.6,6.7,19.9,28,36.9,61,55,0.12,999.9,0,502
2472,7,2016,10,23,23/10/2016,53.7,35.4,1003,10,21.3,29.9,45.1,64,50,0.01,999.9,0,534
2473,3,2014,10,8,08/10/2014,65.2,60.4,1012.5,9.4,12.3,31.1,44.1,70,60.1,0.07,999.9,1,639
2476,4,2019,10,10,10/10/2019,54.5,51.8,1018.5,4.9,28.8,34,47,57,53.6,0.72,999.9,0,615
2477,4,2019,10,17,17/10/2019,58.2,50,990,9.9,28,35,49.9,64,55.4,0.86,999.9,0,608
2478,1,2012,10,29,29/10/2012,56.9,53.1,994,6.1,18.7,35.9,52.1,64.4,54,0.03,999.9,0,298
2479,7,2016,10,9,09/10/2016,62.2,59.7,1013.8,6.4,13.8,36.9,48,69.1,46.9,0,999.9,0,480
2495,1,2012,11,12,12/11/2012,56.7,50.2,1029.8,7.4,2.9,9.9,17.1,64.9,48,0,999.9,1,547
2498,4,2016,11,24,24/11/2016,42.2,34.3,1025.6,10,6,9.9,15,48.9,30,0,999.9,0,428
2513,1,2015,11,2,02/11/2015,58.3,49.4,1016.1,9.5,7.8,13,18.1,64.9,50,0,999.9,0,613
2514,5,2012,11,2,02/11/2012,48.2,36,1003.4,10,5.2,13,25.1,53.6,46,0,999.9,0,345
2521,5,2013,11,29,29/11/2013,31.2,12.9,1033,10,8.7,14,17.1,42.1,26.1,0,999.9,0,437
2522,6,2012,11,10,10/11/2012,48,35,1025,7.9,2,14,20,54,41,0,999.9,0,444
2523,2,2012,11,6,06/11/2012,36.6,17.4,1022,10,4.8,14,18.1,45,32,0.07,999.9,0,514
2525,2,2012,11,20,20/11/2012,44.4,32.8,1022.1,10,3.6,14,19,51.8,39.9,0,999.9,0,671
2528,7,2012,11,18,18/11/2012,43.2,31,1037.2,9.8,5.5,14,21,48.9,34,0,999.9,0,446
2534,6,2013,11,2,02/11/2013,57.4,55.2,1003.8,6.4,5.6,15,21,66,53.1,0.14,999.9,1,551
2536,7,2012,11,4,04/11/2012,43.2,29.6,1014.1,10,6.1,15,22,51.8,39,0,999.9,0,344
2538,1,2018,11,12,12/11/2018,41.7,24.7,1029.4,10,8.2,15,18.1,48,37,0,999.9,0,497
2539,2,2014,11,4,04/11/2014,52.7,37.7,1019.4,10,6.9,15,22,61,37.9,0,999.9,0,538
2540,4,2016,11,17,17/11/2016,48.6,43,1011.2,9.6,8.4,15,24.1,57,41,0,999.9,0,707
2542,4,2014,11,6,06/11/2014,53.6,48.7,1015.8,9.4,5.6,15,21,63,50,0.02,999.9,0,652
2543,5,2018,11,30,30/11/2018,38.4,30.1,1015.2,10,7.5,15,28,48.9,33.1,0,999.9,0,743
2546,6,2012,11,3,03/11/2012,44.7,30.1,1009.4,10,7.6,15,25.1,51.8,42.1,0.01,999.9,0,307
2547,4,2016,11,3,03/11/2016,58.8,56.2,1014.6,5.1,8.4,15,21,63,51.1,0,999.9,1,689
2549,2,2017,11,28,28/11/2017,37.9,27.4,1028,10,10,15.9,22,48.9,28,0,999.9,0,649
2550,6,2014,11,15,15/11/2014,37,20.6,1021.7,10,10.7,15.9,21,48,32,0.05,999.9,0,529
2551,4,2019,11,14,14/11/2019,35,24.6,1030.7,10,8,15.9,17.1,48,21.9,0,999.9,0,545
2552,6,2019,11,2,02/11/2019,47,34.5,1021.6,10,7.2,15.9,22,66.9,36,0.11,999.9,0,506
2554,5,2019,11,15,15/11/2019,49.3,42,1022.5,9.8,11,15.9,20,54,45,0,999.9,0,621
2556,4,2012,11,29,29/11/2012,37.5,21.9,1025.9,9.7,5.8,15.9,22.9,43,32,0.01,999.9,0,515
2557,2,2015,11,10,10/11/2015,55.8,50.8,1023.4,9.3,7.9,15.9,22.9,61,43,0,999.9,0,757
2558,3,2013,11,13,13/11/2013,33.5,20.7,1022.1,10,12.6,15.9,25.1,37.4,30,0.06,999.9,0,593
2559,7,2014,11,16,16/11/2014,38.1,26,1027.1,10,5.6,15.9,22,50,23,0,999.9,0,429
2561,6,2012,11,17,17/11/2012,43.6,27.9,1034.8,10,4.7,16.9,22,51.1,39,0,999.9,0,542
2562,1,2012,11,26,26/11/2012,40.3,19.7,1017.3,10,4.9,16.9,23.9,46.9,36,0,999.9,0,563
2563,1,2012,11,19,19/11/2012,43,34.8,1032.3,10,6.3,16.9,22.9,53.6,37.9,0,999.9,0,585
2564,3,2012,11,21,21/11/2012,46.5,32.7,1021.7,10,4.2,16.9,22,53.6,41,0,999.9,0,689
2565,3,2019,11,6,06/11/2019,51.5,38.9,1024.1,9.9,10.5,17.1,22,62.1,41,0.38,999.9,0,615
2566,1,2015,11,30,30/11/2015,40.5,26.7,1029.5,10,11.3,17.1,25.1,48.9,30.9,0,999.9,0,611
2568,7,2015,11,22,22/11/2015,50.1,45.5,1015,8.1,6.6,17.1,22.9,57.2,39,0,999.9,0,431
2569,6,2016,11,19,19/11/2016,50.1,47.2,1012.9,6.6,12.3,17.1,25.1,54,48,0,999.9,0,692
2570,6,2018,11,24,24/11/2018,41.4,31.9,1023.6,10,11.5,17.1,24.1,50,19,0,999.9,0,536
2571,1,2017,11,6,06/11/2017,62.2,61.6,1016,7.4,11.8,17.1,19,66,48.9,0,999.9,1,682
2572,5,2013,11,15,15/11/2013,53,39.1,1022.7,10,12.3,17.1,20,57.9,48.9,0,999.9,0,617
2573,4,2017,11,9,09/11/2017,48.3,39.9,1022.1,10,8.7,17.1,20,54,43,0.1,999.9,0,702
2574,2,2018,11,6,06/11/2018,56.8,56.2,1014.3,2.1,12.1,17.1,25.1,61,39,0.38,999.9,1,679
2575,6,2017,11,18,18/11/2017,43.5,31.4,1013,10,9.4,17.1,27,53.1,28,0,999.9,0,629
2576,2,2017,11,14,14/11/2017,46.1,39,1024.1,10,12.3,17.1,22.9,52,42.1,0.1,999.9,0,647
2578,7,2014,11,9,09/11/2014,53.2,42.7,1014,10,9.1,17.1,24.1,59,37,0,999.9,0,419
2579,5,2016,11,4,04/11/2016,53.6,44.3,1015.1,10,12.1,17.1,22.9,63,48.9,0,999.9,0,777
2580,3,2013,11,20,20/11/2013,38,21.5,1028.8,10,14.5,17.1,25.1,52,34,0,999.9,0,607
2583,3,2018,11,28,28/11/2018,41,30.4,992.9,10,12.5,17.1,28,51.1,36,0.03,999.9,0,573
2584,5,2013,11,22,22/11/2013,46.2,41.9,1024.5,9.4,5.6,18.1,25.1,54,30.9,0,999.9,0,702
2585,6,2013,11,23,23/11/2013,47.3,34.3,1010.4,9.6,9.9,18.1,27,54,39,0.08,999.9,0,536
2586,2,2017,11,7,07/11/2017,53,46.7,1019.6,9.8,12.5,18.1,25.1,66,48,0.05,999.9,0,710
2587,3,2019,11,20,20/11/2019,44.8,39.8,1009.7,9.1,10,18.1,22.9,51.1,41,0.04,999.9,0,526
2588,7,2016,11,27,27/11/2016,43.4,34.6,1014.3,10,13.2,18.1,24.1,48.9,39.9,0.05,999.9,0,466
2589,2,2015,11,17,17/11/2015,45.3,31.2,1030.8,10,11.9,18.1,24.1,60.1,37.9,0,999.9,0,684
2591,1,2017,11,27,27/11/2017,43,28.8,1013.8,10,12.4,18.1,26,52,39,0,999.9,0,635
2592,5,2014,11,14,14/11/2014,43.7,34.9,1012.3,9.7,11.1,18.1,25.1,53.1,39.9,0.22,999.9,0,654
2593,4,2017,11,30,30/11/2017,43.2,34,1024.6,10,10.1,18.1,27,59,33.1,0,999.9,0,663
2594,5,2018,11,9,09/11/2018,48.3,37.1,1025.5,10,11.1,18.1,22,57.9,39,0,999.9,0,866
2595,4,2018,11,8,08/11/2018,52.1,38.7,1020.3,9.9,11.1,18.1,22,61,44.1,0,999.9,0,631
2596,5,2012,11,30,30/11/2012,41.3,25.8,1027.7,9.3,4.7,18.1,22.9,46,35.6,0,999.9,0,576
2597,1,2018,11,26,26/11/2018,45.4,42.8,1011.9,7.8,8.1,18.1,28,48.9,42.8,0.04,999.9,0,743
2598,1,2012,11,5,05/11/2012,42.3,27.3,1016.3,10,5.5,19,23.9,48.2,37.9,0,999.9,0,479
2599,5,2015,11,20,20/11/2015,57,52.8,1017.7,7.2,13.6,19,25.1,61,46.9,0.08,999.9,0,819
2600,5,2019,11,22,22/11/2019,48.1,43.4,1011.4,8.8,10.6,19,29.9,57,32,0.01,999.9,0,633
2601,2,2017,11,21,21/11/2017,51.1,39,1020.3,10,15.3,19,27,57.9,37,0,999.9,0,790
2602,2,2016,11,15,15/11/2016,54.8,50.1,1014.2,8.6,9.9,19,27,62.1,46.9,0,999.9,0,741
2603,4,2012,11,1,01/11/2012,47.7,37.4,1001.8,10,6,19,23.9,57.2,43,0.04,999.9,0,439
2604,3,2014,11,19,19/11/2014,33.6,14.6,1018.3,10,14.4,19,25.1,39,30,0.02,999.9,0,633
2605,3,2016,11,23,23/11/2016,37.1,23.3,1019.9,10,12,19,25.1,44.1,30.9,0,999.9,0,807
2606,4,2016,11,10,10/11/2016,49.4,40.5,1011.2,10,10.9,19,27,61,44.1,0,999.9,0,706
2607,2,2019,11,19,19/11/2019,46.5,43.1,1005.8,8.4,7.5,19,27,51.1,43,0.38,999.9,0,629
2608,1,2016,11,28,28/11/2016,39.5,26.7,1019.2,10,11.2,19,25.1,46.9,33.1,0,999.9,0,647
2609,2,2014,11,25,25/11/2014,56.7,53.5,1014,3.6,11.2,19,26,61,50,0.26,999.9,1,599
2610,2,2013,11,26,26/11/2013,44.4,33.4,1026.6,10,11.3,19,26,50,23,0,999.9,0,867
2611,7,2017,11,5,05/11/2017,54.5,49.5,1026,10,10.8,19,22.9,61,46.9,0,999.9,0,519
2612,2,2018,11,20,20/11/2018,48.2,46.3,1012,9.2,7,19,25.1,52,43,0,999.9,0,695
2613,4,2013,11,7,07/11/2013,57.8,55.7,1015.6,7.1,11.4,20,28,64,37,0.01,999.9,0,646
2614,6,2015,11,21,21/11/2015,48.8,34.7,1021.5,10,14.3,20,28.9,61,39.9,0.78,999.9,0,597
2615,1,2013,11,4,04/11/2013,42,26,1032,10,13.9,20,25.1,55,39,0,999.9,0,658
2616,3,2018,11,7,07/11/2018,57.9,52.2,1012.9,8.4,13.7,20,26,62.6,55,0.35,999.9,0,696
2617,6,2018,11,17,17/11/2018,44.5,31.4,1015.5,10,12.1,20,26,50,41,0.03,999.9,0,559
2618,3,2017,11,29,29/11/2017,52.2,47.6,1019.8,9.8,14.6,20,26,59,46,0,999.9,0,701
2619,6,2014,11,8,08/11/2014,43.9,29.7,1012,10,13.9,20,32.1,55,37,0.03,999.9,0,543
2620,1,2018,11,5,05/11/2018,47.5,41.9,1030.9,9.7,9.2,20,32.1,53.1,37,0,999.9,0,759
2621,7,2016,11,6,06/11/2016,49.9,42.3,1019.1,9,10.5,20,28.9,55.9,36,0,999.9,0,532
2622,4,2019,11,21,21/11/2019,43.3,36.2,1017.1,10,13,20,26,48.9,34,0.09,999.9,0,647
2623,5,2018,11,2,02/11/2018,60,57.8,1010.6,5.2,13.9,20,27,64,55,0.01,999.9,0,746
2625,4,2018,11,15,15/11/2018,34,18.9,1033.3,9.9,10.6,20,28,44.1,28.9,0,999.9,0,1065
